,Food Item ID,Subgroup,"Country, region",Type,ISSCAAP,3_alpha,Food name in own language,Food name in English,Processing,Scientific name,ASFIS English name,ASFIS Scientific name,Season,Other,n,Comments on data processing/methods,Publication year,BiblioID,Compiler,Latest revision in version,WATER(g),FAT(g),FATCE(g),FAT-(g),FASAT(g),FAMS(g),FAPU(g),FAUN(g),FATRN(g),XFA (internal use),FACID(g),FAPUN3(g),FAPUN6(g),FAPUN9(g),FAPUCN3(g),FAPULCCN3(g),FAPUCN6(g),FAPUCN9(g),FAN3(g),FAN6(g),F4D0(g),F6D0(g),F8D0(g),F9D0(g),F10D0(g),F11D0(g),F12D0(g),F13D0(g),F14D0(g),F14D0I(g),F15D0(g),F15D0I(g),F16D0(g),F16D0I(g),F16D0AI(g),F17D0(g),F17D0I(g),F17D0AI(g),F18D0(g),F19D0(g),F20D0(g),F21D0(g),F22D0(g),F23D0(g),F24D0(g),F12D1(g),F14D1N9(g),F14D1N7(g),F14D1N5(g),F14D1N3(g),F14D1(g),F15D1N9(g),F15D1N7(g),F15D1(g),F16D1N11(g),F16D1N9(g),F16D1TN7(g),F16D1N7(g),F16D1(g),F17D1N9(g),F17D1N8(g),F17D1N7(g),F17D1N5(g),F17D1(g),F18D1CN11(g),F18D1N11(g),F18D1CN9(g),F18D1TN9(g),F18D1N9(g),F18D1CN7(g),F18D1N7(g),F18D1N6(g),F18D1N5(g),F18D1T(g),F18D1(g),F19D1N11(g),F19D1N9(g),F20D1CN11(g),F20D1N11(g),F20D1N9(g),F20D1N8(g),F20D1N7(g),F20D1T(g),F20D1(g),F22D1N11(g),F22D1N9(g),F22D1T(g),F22D1(g),F24D1N9(g),F24D1(g),F16D2N7(g),F16D2N6(g),F16D2N4(g),F16D2(g),F18D2CN6(g),F18D2TTN6(g),F18D2TN6(g),F18D2N6(g),F18D2N5(g),F18D2N4(g),F18D2T(g),F18D2(g),F20D2N9(g),F20D2N6(g),F20D2C(g),F20D2(g),F22D2N6(g),F22D2C(g),F22D2(g),F16D3N4(g),F16D3N3(g),F16D3(g),F18D3CN6(g),F18D3N6(g),F18D3N4(g),F18D3CN3(g),F18D3TN3(g),F18D3N3(g),F18D3(g),F20D3N9(g),F20D3N6(g),F20D3N3(g),F20D3(g),F22D3N6(g),F22D3N3(g),F16D4N4(g),F16D4N3(g),F16D4N1(g),F16D4(g),F18D4N3(g),F18D4N1(g),F18D4(g),F20D4CN6(g),F20D4N6(g),F20D4N3(g),F20D4(g),F22D4N6(g),F22D4N3(g),F22D4(g),F20D5CN3(g),F20D5N3(g),F20D5(g),F21D5N3(g),F21D5(g),F22D5N6(g),F22D5N3(g),F22D5(g),F22D6CN3(g),F22D6N3(g),F22D6(g),F18D1N7_A_F18D1N9(g),F18D1N11_A_F20D1N9(g),F20D1N9_A_F20D1N11(g),F20D4N6_A_F22D1(g),F22D1N9_A_F22D1N11(g),F20D1N11_A_F20D1N13(g),F22D1N11_A_F22D1N13(g),Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,Unnamed: 231,Unnamed: 232,Unnamed: 233,Unnamed: 234,Unnamed: 235,Unnamed: 236,Unnamed: 237,Unnamed: 238,Unnamed: 239,Unnamed: 240,Unnamed: 241,Unnamed: 242,Unnamed: 243,Unnamed: 244,Unnamed: 245,Unnamed: 246,Unnamed: 247,Unnamed: 248
865,902168.0,Finfish,"Iceland, North Atlantic",W,32.0,GAD,"Þorskur, siginn, hrár","Cod, wild, dried",d,,(Gadiformes nei),(Gadiformes),,,1,,2011.0,im11,DR,1.0,67.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
866,902169.0,Finfish,"Iceland, North Atlantic",W,32.0,GAD,"Þorskur, siginn, soðinn","Cod, wild, dried, boiled",p,,(Gadiformes nei),(Gadiformes),,,1,,2011.0,im11,DR,1.0,75.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
867,902170.0,Finfish,Iceland,F,23.0,ACH,"Bleikja, eldisbleikja, flök","Arctic charr, farmed, fillet, raw",r,Salvelinus alpinus ,Arctic char,Salvelinus alpinus,,,,FAME converted using ShF and XFA,2011.0,im11,DR,1.0,,11.6,,,1.9464059719468,5.26060246647793,2.50903269048015,0.935498034541269,0.0282608365538563,0.920672413793103,,2.06047088908134,0.455925520140459,,,,,,,,,,,,,,0.004976123717895,,0.463783688543237,,0.0304117212647603,,1.23356437507682,,,0.0134276868456936,,,0.183531461665709,,0.010245343976989,,0.0045218036131192,,0.00194376724257148,,,,,,0.0112944367636724,,,,,0.0259222995922135,0.00132798665943717,0.73761691011778,,,,,,,,,,,,,,,,0.0153247988027536,2.22220261942229,,,,,,,,0.00203777628343362,1.22963710997718,,0.973306499125084,0.00220655606658161,,,0.0606225914797145,,,,,,,,0.28482784947184,,,,,,,,,,,,,,,,0.00901788744448474,,,0.00736371874165026,0.081908030930675,,,,,,,,,,,,0.168720042736779,,,,0.162079783224134,0.0928007221633722,,,,,,0.542126325898322,,,,,0.117964073930909,,,1.04958797467963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
868,902171.0,Finfish,Iceland,F,23.0,ACH,"Bleikja, eldisbleikja, flök","Arctic charr, farmed, fillet, raw",r,Salvelinus alpinus ,Arctic char,Salvelinus alpinus,,,,FAME converted using ShF and XFA,2011.0,im11,DR,1.0,,15.4,,,2.50566407044528,6.99430146542473,3.56780618452384,1.11955101041788,0.0378772691882635,0.923714285714286,,2.93308888007524,0.645094664309362,,,,,,,,,,,,,,0.00655860284894503,,0.620027311061096,,0.0383217077206389,,1.59678724620005,,,0.0159697860278426,,,0.209393668660702,,0.0125753986143531,,0.00365694561945543,,0.00237340369219276,,,,,,0.0163100279539155,,,,,0.0360860872911919,0.00183968288151175,1.08965832212619,,,,,,,,,,,,,,,,0.01785264305592,3.0744242872197,,,,,,,,0.0017857836036144,1.5276307258759,,1.19539894570553,0.00602179978646266,,,0.0547930692523051,,,,,,,,0.443677224317723,,,,,,,,,,,,,,,,0.0149974173330085,,,0.0103773598607547,0.13305765520091,,,,,,,,,,,,0.293165340236199,,,,0.186420022658631,0.140029128811728,,,,,,0.768651798990895,,,,,0.188501556230119,,,1.39930604074463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
869,902172.0,Finfish,Iceland,F,23.0,ACH,"Bleikja, eldisbleikja, flök","Arctic charr, farmed, fillet, raw",r,Salvelinus alpinus ,Arctic char,Salvelinus alpinus,,,,FAME converted using ShF and XFA,2011.0,im11,DR,1.0,,8.7,,,1.44128884910286,3.95739448627481,1.84827497115055,0.704045669769111,0.0230960237026685,0.916563218390805,,1.52417985553935,0.329274358682748,,,,,,,,,,,,,,0.00316779755014721,,0.330661830919265,,0.022429366295508,,0.916253693652259,,,0.0103835535377395,,,0.14703994834547,,0.00748927225961237,,0.00221054792852186,,0.00165283861434075,,,,,,0.00795988896973139,,,,,0.0196319635099452,0.00087253171155312,0.551241739039856,,,,,,,,,,,,,,,,0.0136346447339459,1.70759971708881,,,,,,,,0.00164157828722438,0.916841492662221,,0.70909893247447,0.00176802589838934,,,0.0450207525297797,,,,,,,,0.195284397248689,,,,,,,,,,,,,,,,0.00605573036058829,,,0.00517924307155578,0.0550593378837699,,,,,,,,,,,,0.103787901702587,,,,0.127934231073471,0.063207030986893,,,,,,0.387370347160653,,,,,0.0946589702793995,,,0.814917024454496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870,902173.0,Finfish,Iceland,F,23.0,ACH,"Bleikja, eldisbleikja, flök","Arctic charr, farmed, fillet, raw",r,Salvelinus alpinus ,Arctic char,Salvelinus alpinus,,,,FAME converted using ShF and XFA,2011.0,im11,DR,1.0,,13.9,,,2.31203905384513,6.2651563668271,3.32392222342941,0.892108745299567,0.032473610598796,0.922712230215827,,2.59714803080429,0.736064492599058,,,,,,,,,,,,,,0.00559759147937269,,0.57754644993248,,0.0354346325211199,,1.45692485691676,,,0.0143955018840297,,,0.204016205769856,,0.0126238805698413,,0.00355499282926357,,0.00194494194240847,,,,,,0.0128010561743626,,,,,0.0267246087386306,0.00114807388375979,0.830184981723189,,,,,,,,,,,,,,,,0.0155798326133477,2.65889398480718,,,,,,,,0.00186730187712959,1.47349435021495,,1.20848028434877,0.00458810225061563,,,0.054577100820014,,,,,,,,0.543315934328614,,,,,,,,,,,,,,,,0.0153770482327337,,,0.00929029997394326,0.139674854780664,,,,,,,,,,,,0.246780092640153,,,,0.17737151003771,0.12320146598557,,,,,,0.658148166394549,,,,,0.171468693667918,,,1.2485844573615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
871,902174.0,Finfish,Iceland,F,23.0,SAL,"Lax, eldislax, flök","Atlantic salmon, farmed, fillet, raw",r,Salmo salar ,Atlantic salmon,Salmo salar,,,,FAME converted using ShF and XFA,2011.0,im11,DR,1.0,,8.3,,,1.4342567324947,3.52296014624049,2.008290704064,0.613978316544136,0.0214141006566817,0.915771084337349,,1.56074633546109,0.454339398865339,,,,,,,,,,,,,,0.00365185813708385,,0.362697969353907,,0.0234444339856823,,0.875302315714886,,,0.0110688824013259,,,0.14268803856264,,0.0101506784798901,,0.0032551544120178,,0.00199740144726241,,,,,,0.00431786344769813,,,,,0.0120549286740891,0.00102032311661569,0.347967972511011,,,,,,,,,,,,,,,,0.00831911749329941,1.29835213152274,,,,,,,,0.00110634649208914,0.933641989686123,,0.875240881292178,0.00417328329225054,,,0.0513843791066477,,,,,,,,0.331171667560782,,,,,,,,,,,,,,,,0.0067570691995083,,,0.00679503026242689,0.0862475349510273,,,,,,,,,,,,0.123254778016372,,,,0.116410662105049,0.103412615026522,,,,,,0.365020708898565,,,,,0.145274155092382,,,0.730741513213792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872,902175.0,Finfish,Iceland,F,23.0,SAL,"Lax, eldislax, flök","Atlantic salmon, farmed, fillet, raw",r,Salmo salar ,Atlantic salmon,Salmo salar,,,,FAME converted using ShF and XFA,2011.0,im11,DR,1.0,,14.9,,,3.01129560506107,6.54740233640347,3.16002205972231,0.998445697997358,0.0415343008158019,0.923402684563758,,2.51113025988461,0.664012239707089,,,,,,,,,,,,,,0.00782616846304665,,0.737585607805838,,0.0467231303951106,,1.82785334309522,,,0.0248904038381398,,,0.335508925734666,,0.0201743553862925,,0.00748824085452966,,0.00324542948822451,,,,,,0.00919981771871729,,,,,0.0239466841899691,0.00145960741729336,0.672879019372238,,,,,,,,,,,,,,,,0.0165062251685982,2.51770369509138,,,,,,,,0.00248656059128099,1.64647149077487,,1.58746030496989,0.00596146776923863,,,0.0897413242864114,,,,,,,,0.447397262508282,,,,,,,,,,,,,,,,0.00920972246590166,,,0.0151204398693908,0.132968231821127,,,,,,,,,,,,0.183077095103192,,,,0.207405254732905,0.178834122703372,,,,,,0.571670313618184,,,,,0.278072718290898,,,1.15138733847844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
873,902176.0,Finfish,Iceland,F,23.0,SAL,"Lax, eldislax, flök","Atlantic salmon, farmed, fillet, raw",r,Salmo salar ,Atlantic salmon,Salmo salar,,,,FAME converted using ShF and XFA,2011.0,im11,DR,1.0,,12,,,2.50363199538607,4.80782429390399,2.79955051563977,0.908810989422727,0.033182205647444,0.921083333333333,,2.2233036290863,0.587295486758157,,,,,,,,,,,,,,0.00542098489718043,,0.577094770644925,,0.0427695169155295,,1.53772384021789,,,0.0275728273266274,,,0.286350378320353,,0.0155439661317957,,0.00668535216800931,,0.00447035876376119,,,,,,0.00546212252745904,,,,,0.0219899543691755,0.00219899543691755,0.479381005248026,,,,,,,,,,,,,,,,0.0132627859231862,2.08225738994024,,,,,,,,0.00332992759502745,1.07445663732886,,1.06717894504893,0.00334189648762713,,,0.0770982394413098,,,,,,,0.0110486002046857,0.404378767491496,,,,,,,,,,,,,,,,0.00773137564231083,,,,0.1325378681539,,,,,,,,,,,,0.143532902126285,,,,0.164136743419664,0.153046422918336,,,,,,0.465657917711737,,,,,0.251514025087702,,,1.07701449308834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
874,902177.0,Finfish,Iceland,F,23.0,SAL,"Lax, eldislax, flök","Atlantic salmon, farmed, fillet, raw",r,Salmo salar ,Atlantic salmon,Salmo salar,,,,,2011.0,im11,DR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
