,Food Item ID,ISSCAAP,3-Alpha,Food name in English,Habitat,State of food,RefID,EDIBLE,EDIBLE.1,ENERC(kJ),ENERC(kcal),WATER(g),NT(g),PROTCNT(g),FAT(g),CHOAVLDF(g),FIBTG(g),CHOLE(mg),ASH(g),CA(mg),CU(mg),FE(mg),K(mg),MG(mg),NA(mg),P(mg),ZN(mg),ID(mcg),SE(mcg),RETOL(mcg),CARTB(mcg),CHOCAL(mcg),TOCPHA(mg),THIA(mg),RIBF(mg),NIAEQ(mg),NIA(mg),PANTAC(mg),VITB6C(mg),FOL(mcg),VITB12(mcg),VITC(mg),ALA(mg),ARG(mg),ASP(mg),CYS(mg),GLU(mg),GLY(mg),HIS(mg),ILE(mg),LEU(mg),LYS(mg),MET(mg),PHE(mg),PRO(mg),SER(mg),THR(mg),TRP(mg),TYR(mg),VAL(mg),XFA,FACID(g),FASAT(g),FAMS(g),FAPU(g),FAUN(g),FATRN(g),FAPUN3(g),FAPUN6(g),F4D0(g),F6D0(g),F8D0(g),F10D0(g),F12D0(g),F13D0(g),F14D0(g),F15D0(g),F16D0(g),F17D0(g),F18D0(g),F19D0(g),F20D0(g),F21D0(g),F22D0(g),F23D0(g),F24D0(g),F26D0(g),F30D0(g),F10D1(g),F14D1N7(g),F14D1(g),F15D1(g),F16D1N9(g),F16D1N7(g),F16D1N5(g),F16D1C(g),F16D1T(g),F16D1(g),F17D1N9(g),F17D1N7(g),F17D1C(g),F17D1(g),F18D1N11(g),F18D1CN9(g),F18D1TN9(g),F18D1N9(g),F18D1CN7(g),F18D1N7(g),F18D1N5(g),F18D1C(g),F18D1T(g),F18D1(g),F19D1(g),F20D1CN11(g),F20D1N11(g),F20D1CN9(g),F20D1N9(g),F20D1N7(g),F20D1C(g),F20D1(g),F22D1N11(g),F22D1N9(g),F22D1C(g),F22D1T(g),F22D1(g),F24D1N9(g),F24D1C(g),F24D1(g),F16D2N6(g),F16D2N4(g),F16D2(g),F17D2(g),F18D2CN6(g),F18D2N6(g),F18D2CLA(g),F18D2C(g),F18D2T(g),F18D2(g),F20D2N9(g),F20D2CN6(g),F20D2N6(g),F20D2C(g),F20D2(g),F22D2N6(g),F22D2(g),F16D3N3(g),F16D3(g),F18D3CN6(g),F18D3N6(g),F18D3N4(g),F18D3CN3(g),F18D3N3(g),F18D3(g),F20D3N9(g),F20D3CN6(g),F20D3N6(g),F20D3N3(g),F20D3(g),F22D3N6(g),F22D3(g),F16D4N3(g),F16D4C(g),F16D4(g),F18D4CN3(g),F18D4N3(g),F18D4(g),F20D4CN6(g),F20D4N6(g),F20D4N3(g),F20D4(g),F22D4CN6(g),F22D4N6(g),F22D4N3(g),F22D4(g),F20D5CN3(g),F20D5N3(g),F20D5(g),F21D5N3,F21D5(g),F22D5N6(g),F22D5CN3(g),F22D5N3(g),F22D5(g),F22D6CN3(g),F22D6N3(g),F22D6(g),F24D6N3(g),F24D6(g)
407,93072.0,52.0,JTX,"Conch shells, flesh, boiled in recipe",,c,calc. from 093002,0.676357142857143,1,863.0700280112045,203.36694677871148,44.64985994397759,7.29859943977591,45.61624649859944,0.9915966386554621,2.9943977591036433,0,,5.747899159663866,531.6993464052288,0.7189542483660131,5.947712418300653,461.89542483660136,478.954248366013,257.1895424836601,840.8496732026143,8.627450980392156,,,,,,,,,10.982977880306182,,,,,,,2720,2780,3770,421.643722883789,6130,2620,1170,1840,2870,2900,1210,1810,2310,2260,1970,658.9786728183709,1610,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,93003.0,52.0,TBG,"Giant Eastern Pacific conch, flesh, raw",,r,"fi235, dAA",0.5523333333333333,1,438.83333333333337,103.33333333333336,71.8,3.781333333333333,23.633333333333333,0.26666666666666666,1.6000000000000036,0,,2.6999999999999997,271.1666666666667,0.3666666666666667,3.033333333333333,235.5666666666667,244.26666666666665,131.16666666666666,428.8333333333333,4.3999999999999995,,,,,,,,,5.690173943747698,,,,,,,1410,1440,1950,218.44950901705965,3180,1360,607.0726113080754,954.9903527846154,1490,1500,626.0124399330331,939.6994208052306,1200,1170,1020,341.4104366248619,835.5866090674195,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,93038.0,52.0,TBG,"Giant Eastern Pacific conch, flesh, boiled♦",,c,calc. from 093003,0.5523333333333333,1,860.4575163398694,202.61437908496737,44.70588235294117,7.41437908496732,46.33986928104575,0.5228758169934641,3.1372549019607914,0,,5.2941176470588225,531.6993464052288,0.6470588235294118,4.758169934640523,346.421568627451,407.11111111111103,218.6111111111111,714.7222222222222,8.627450980392156,,,,,,,,,11.157203811269996,,,,,,,2760,2830,3830,428.3323706216856,6230,2670,1190.3384535452458,1870,2920,2940,1230,1840,2350,2290,2010,669.4322286761998,1640,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,93073.0,52.0,TBG,"Giant Eastern Pacific conch, flesh, boiled in recipe",,c,calc. from 093003,0.5523333333333333,1,860.4575163398694,202.61437908496737,44.70588235294117,7.41437908496732,46.33986928104575,0.5228758169934641,3.1372549019607914,0,,5.2941176470588225,531.6993464052288,0.7189542483660131,5.947712418300653,461.89542483660136,478.954248366013,257.1895424836601,840.8496732026143,8.627450980392156,,,,,,,,,11.157203811269996,,,,,,,2760,2830,3830,428.3323706216856,6230,2670,1190.3384535452458,1870,2920,2940,1230,1840,2350,2290,2010,669.4322286761998,1640,1210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,93004.0,52.0,TBI,"Eastern Pacific fighting conch, flesh, raw",,r,"fi240, 093002, dAA",0.769375,1,441.165,104.005,71.75,3.6780000000000004,22.9875,0.685,1.4724999999999984,0,,3.1050000000000004,271.1666666666667,0.3666666666666667,3.033333333333333,235.5666666666667,244.26666666666665,131.16666666666666,428.8333333333333,4.3999999999999995,,,,,,,,,5.5346773003624925,,,,,,,1370,1400,1900,212.479890910987,3090,1320,590.4830036295226,928.8931199422997,1450,1460,608.9052593636362,914.0200466471189,1160,1140,995.0081624586458,332.08063802174956,812.7523487702671,994.9900987825071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,93039.0,52.0,TBI,"Eastern Pacific fighting conch, flesh, boiled♦",,c,calc. from 093004,0.769375,1,865.0294117647059,203.93137254901958,44.6078431372549,7.211764705882352,45.0735294117647,1.343137254901961,2.887254901960781,0,,6.088235294117648,531.6993464052288,0.6470588235294118,4.758169934640523,346.421568627451,407.11111111111103,218.6111111111111,714.7222222222222,8.627450980392156,,,,,,,,,10.852308432083317,,,,,,,2680,2750,3720,416.6272370803666,6060,2590,1160,1820,2840,2860,1190,1790,2280,2229.666443361329,1950,651.1385059249991,1590,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,93074.0,52.0,TBI,"Eastern Pacific fighting conch, flesh, boiled in recipe",,c,calc. from 093004,0.769375,1,865.0294117647059,203.93137254901958,44.6078431372549,7.211764705882352,45.0735294117647,1.343137254901961,2.887254901960781,0,,6.088235294117648,531.6993464052288,0.7189542483660131,5.947712418300653,461.89542483660136,478.954248366013,257.1895424836601,840.8496732026143,8.627450980392156,,,,,,,,,10.852308432083317,,,,,,,2680,2750,3720,416.6272370803666,6060,2590,1160,1820,2840,2860,1190,1790,2280,2229.666443361329,1950,651.1385059249991,1590,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,93005.0,53.0,OYC,"Cupped oysters, flesh, raw",,r,"fi120, fi156, fi174, fi177, fi193, fi195, fi203, fi226, fi230, fi244, fi429, SR27-15171/15167/15245, NZ13-T8, USY-1620, dAA",0.11,1,306.227422932331,72.57679594206107,82.09315789473683,1.4218861714285715,8.886788571428571,1.779167857142857,5.254282735515268,0,30.036666666666665,1.98660294117647,117.92809783333333,1.767837857142857,3.103802583333333,153.77027308333334,70.17150741666667,348.14521383333334,169.83049400000002,11.480187545454546,130,37.17,27.28333333333333,5.355714285714286,0.5,0.45625,0.07250000000000001,0.1325714285714286,3.644913163867604,1.50525,0.285,0.1,10.700000000000001,21.113333333333333,4.483750000000001,529.0782898278618,542.4604032471806,733.5813582727309,82.14307193936483,1200,511.2043778133517,228.27613304089863,359.10284991329456,559.2385913676283,564.589224301541,235.39803371377974,353.3530355454149,449.7557819472333,439.6055628559103,384.66241072824954,128.37978983205622,314.2037317869858,384.65542745165715,0.79,1.40,0.42,0.27,0.65,0.06,,,,0,0,0,0,tr,tr,0.05,0.01,0.27,0.02,0.06,,tr,tr,tr,,tr,,,,,tr,tr,,,,,,0.06,,,,0.02,,,,,,,,,,0.15,,,,,,,,0.03,,,,,0.01,,,0,,,,,,,,,,0.03,,,,,tr,,,,,,,,,,0.07,,,,,0.01,,,,,,,,0.06,,,,0.05,,,,0.01,,,0.20,,,,,,0.02,,,0.20,,
415,93040.0,53.0,OYC,"Cupped oysters, flesh, steamed",,c,calc. from 093005,0.11,1,392.59926016965505,93.04717428469368,77.04251012145748,1.8229309890109888,11.39331868131868,2.280984432234432,6.736259917327267,0,38.508547008547005,2.546926847662141,151.189869017094,2.039812912087912,3.1833872649572648,147.85603181089743,76.46895038995727,379.3890150747863,185.07169217948717,14.718189160839161,150,42.88846153846154,31.48076923076923,6.17967032967033,0.5769230769230769,0.5849358974358974,0.06971153846153846,0.11897435897435898,4.094023287009748,1.3508653846153844,0.25576923076923075,0.08974358974358973,9.602564102564102,21.654700854700856,4.598717948717949,678.30549977931,695.4620554451033,940.4889208624754,105.31163069149336,1530,655.3902279658355,292.6617090267931,460.3882691196084,716.9725530354208,723.8323388481294,301.79235091510225,453.01671223771143,576.6099768554272,563.5968754562953,493.1569368310891,164.58947414366182,402.8252971628023,493.14798391238094,0.83,1.88,0.57,0.36,0.87,0.08,,,,0,0,0,0,tr,tr,0.07,0.02,0.36,0.03,0.07,,tr,tr,tr,,tr,,,,,tr,tr,,,,,,0.08,,,,0.03,,,,,,,,,,0.21,,,,,,,,0.04,,,,,0.01,,,0,,,,,,,,,,0.04,,,,,tr,,,,,,,,,,0.10,,,,,0.01,,,,,,,,0.08,,,,0.07,,,,0.01,,,0.26,,,,,,0.02,,,0.27,,
416,93075.0,53.0,OYC,"Cupped oysters, flesh, boiled in recipe",,c,calc. from 093005,0.11,1,392.59926016965505,93.04717428469368,77.04251012145748,1.8229309890109888,11.39331868131868,2.280984432234432,6.736259917327267,0,38.508547008547005,2.546926847662141,151.189869017094,2.266458791208791,3.979234081196581,197.14137574786324,89.96347104700855,446.34001773504275,217.73140256410258,14.718189160839161,170,47.65384615384615,31.48076923076923,6.17967032967033,0.5769230769230769,0.5849358974358974,0.07900641025641027,0.16996336996336997,4.576475210086671,1.8333173076923075,0.31057692307692303,0.10897435897435898,11.66025641025641,24.36153846153846,4.886137820512821,678.30549977931,695.4620554451033,940.4889208624754,105.31163069149336,1530,655.3902279658355,292.6617090267931,460.3882691196084,716.9725530354208,723.8323388481294,301.79235091510225,453.01671223771143,576.6099768554272,563.5968754562953,493.1569368310891,164.58947414366182,402.8252971628023,493.14798391238094,0.83,1.88,0.57,0.36,0.87,0.08,,,,0,0,0,0,tr,tr,0.07,0.02,0.36,0.03,0.07,,tr,tr,tr,,tr,,,,,tr,tr,,,,,,0.08,,,,0.03,,,,,,,,,,0.21,,,,,,,,0.04,,,,,0.01,,,0,,,,,,,,,,0.04,,,,,tr,,,,,,,,,,0.10,,,,,0.01,,,,,,,,0.08,,,,0.07,,,,0.01,,,0.26,,,,,,0.02,,,0.27,,
